weight	mpg	foreign
4100	18	0
2720	47	0
3760	13	1
2530	19	1
4720	47	0
3210	41	0
2290	16	1
3840	24	0
3770	17	0
3160	40	0
3930	21	0
4900	19	0
3110	45	0
4140	44	0
3790	28	0
3610	46	0
1760	40	1
2460	47	0
2620	44	0
2820	45	0
2240	39	0
3790	11	0
4360	24	0
2310	30	1
2170	31	0
2680	34	0
3290	11	1
3880	15	0
2540	39	0
3320	17	1
4050	42	0
2370	22	0
2060	49	0
3610	11	0
3280	27	0
2650	48	0
4350	46	0
2960	15	0
3870	13	0
2980	11	1
3860	43	0
3820	25	0
4400	25	0
3010	42	1
4870	11	0
1770	49	0
2360	15	1
2230	34	0
4630	39	0
1890	28	1
2980	27	1
3020	23	0
3540	48	0
3480	19	1
2640	48	0
2970	41	0
2480	41	0
3120	45	0
4410	25	0
3260	16	0
1810	24	1
4430	29	0
2200	49	0
2640	39	0
3150	31	0
4270	44	0
1750	10	1
2900	47	0
2040	42	0
4670	17	0
2050	20	1
4720	13	0
4320	10	0
2290	49	0
2020	22	1
2280	22	1
3710	11	0
1590	28	1
1720	44	1
4030	20	0
2500	27	0
4120	30	0
2480	21	0
4060	28	0
2660	21	0
3400	35	0
2130	19	0
3290	20	0
4410	21	0
3830	34	0
4530	31	0
2680	40	0
1540	44	1
3740	12	0
2100	37	1
1540	39	1
3400	22	0
2000	46	0
4380	25	0
4030	39	0
